Datetime,Canopytemp
22/12/2015 08:35,25.41
22/12/2015 08:40,25.43
22/12/2015 08:55,27.15
22/12/2015 09:00,30.46
22/12/2015 09:05,30.31
22/12/2015 09:10,30.13
22/12/2015 09:15,30.17
22/12/2015 09:20,29.97
22/12/2015 09:25,29.96
22/12/2015 09:30,29.82
22/12/2015 09:35,30.00
22/12/2015 09:40,29.92
22/12/2015 09:45,39.33
22/12/2015 09:50,32.60
22/12/2015 09:55,38.98
22/12/2015 10:00,29.63
22/12/2015 10:05,29.30
22/12/2015 10:10,29.80
22/12/2015 10:15,29.76
22/12/2015 10:20,29.86
22/12/2015 10:25,30.21
22/12/2015 10:30,31.22
22/12/2015 10:35,29.51
22/12/2015 10:40,28.83
22/12/2015 10:45,27.99
22/12/2015 10:50,30.47
22/12/2015 10:55,30.22
22/12/2015 11:00,30.44
22/12/2015 11:05,31.16
22/12/2015 11:10,31.05
22/12/2015 11:15,30.73
22/12/2015 11:20,29.99
22/12/2015 11:25,29.47
22/12/2015 11:30,29.19
22/12/2015 11:35,28.90
22/12/2015 11:40,28.37
22/12/2015 11:45,28.93
22/12/2015 11:50,28.74
22/12/2015 11:55,28.55
22/12/2015 12:00,28.89
22/12/2015 12:05,29.41
22/12/2015 12:10,30.65
22/12/2015 12:15,30.36
22/12/2015 12:20,30.87
22/12/2015 12:25,29.64
22/12/2015 12:30,30.13
22/12/2015 12:35,29.65
22/12/2015 12:40,29.69
22/12/2015 12:45,28.63
22/12/2015 12:50,30.02
22/12/2015 12:55,30.32
22/12/2015 13:00,29.90
22/12/2015 13:05,28.67
22/12/2015 13:10,28.81
22/12/2015 13:15,28.81
22/12/2015 13:20,28.60
22/12/2015 13:25,29.07
22/12/2015 13:30,28.73
22/12/2015 13:35,28.97
22/12/2015 13:40,28.62
22/12/2015 13:45,28.97
22/12/2015 13:50,28.87
22/12/2015 13:55,28.35
22/12/2015 14:00,28.04
22/12/2015 14:05,27.76
22/12/2015 14:15,27.69
22/12/2015 14:20,27.30
22/12/2015 14:30,26.77
22/12/2015 14:35,26.80
22/12/2015 14:40,26.62
22/12/2015 14:45,26.86
22/12/2015 14:50,26.48
22/12/2015 15:00,25.84
22/12/2015 15:05,24.58
22/12/2015 15:10,23.59
22/12/2015 15:15,23.18
22/12/2015 15:20,22.63
22/12/2015 15:25,22.49
22/12/2015 15:30,22.60
22/12/2015 15:35,22.58
22/12/2015 15:40,22.71
22/12/2015 15:45,23.18
22/12/2015 15:50,23.53
22/12/2015 16:00,22.84
22/12/2015 16:05,22.66
22/12/2015 16:10,22.25
22/12/2015 16:15,22.14
22/12/2015 16:20,22.63
22/12/2015 16:25,22.43
22/12/2015 16:30,22.48
22/12/2015 16:35,22.14
22/12/2015 16:40,22.73
22/12/2015 16:45,22.57
22/12/2015 16:50,22.63
22/12/2015 16:55,22.67
22/12/2015 17:00,22.57
22/12/2015 17:05,22.44
22/12/2015 17:10,22.58
22/12/2015 17:15,22.59
22/12/2015 17:20,22.57
22/12/2015 17:25,22.58
22/12/2015 17:30,23.02
22/12/2015 17:35,23.36
22/12/2015 17:40,23.40
22/12/2015 17:45,23.31
22/12/2015 17:50,23.41
22/12/2015 17:55,23.07
22/12/2015 18:00,22.89
